"214 - Höstsonaten (1978) - Starring: Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann 8.053689520459692"
"215 - Cool Hand Luke (1967) - Starring: Stuart Rosenberg (dir.), Paul Newman, George Kennedy 8.051866202232612"
"216 - Ah-ga-ssi (2016) - Starring: Park Chan-Wook (dir.), Kim Min-hee, Ha Jung-woo 8.051742125582988"
"217 - Les quatre cents coups (1959) - Starring: François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy 8.051573905541396"
"218 - Eskiya (1996) - Starring: Yavuz Turgul (dir.), Sener Sen, Ugur Yücel 8.04990464350216"
"219 - Logan (2017) - Starring: James Mangold (dir.), Hugh Jackman, Patrick Stewart 8.048524108608392"
"220 - Platoon (1986) - Starring: Oliver Stone (dir.), Charlie Sheen, Tom Berenger 8.046703349244265"
"221 - Hachi: A Dog's Tale (2009) - Starring: Lasse Hallström (dir.), Richard Gere, Joan Allen 8.046657434116993"
"222 - La haine (1995) - Starring: Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé 8.04464990577186"
"223 - Life of Brian (1979) - Starring: Terry Jones (dir.), Graham Chapman, John Cleese 8.043388292361419"
"224 - Spotlight (2015) - Starring: Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton 8.042875594968896"
"225 - Hotel Rwanda (2004) - Starring: Terry George (dir.), Don Cheadle, Sophie Okonedo 8.041279712290901"
"226 - Rush (2013) - Starring: Ron Howard (dir.), Daniel Brühl, Chris Hemsworth 8.039181132789313"
"227 - Into the Wild (2007) - Starring: Sean Penn (dir.), Emile Hirsch, Vince Vaughn 8.039161548707055"
"228 - Andrei Rublev (1966) - Starring: Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov 8.038855973510517"
"229 - Rebecca (1940) - Starring: Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine 8.038640359973844"
"230 - Monsters, Inc (2001) - Starring: Pete Docter (dir.), Billy Crystal, John Goodman 8.038152776075805"
"231 - Amores perros (2000) - Starring: Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal 8.035306042749895"
"232 - Drishyam 2 (2021) - Starring: Jeethu Joseph (dir.), Mohanlal, Meena 8.035015007163015"
